Reference, Value, Footprint, Datasheet, Source
"R33","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R23","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R27","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R31","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R35","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R22","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R26","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R30","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R34","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R36","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R32","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R28","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R24","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"J5","Conn_02x25_Odd_Even","Connector_IDC:IDC-Header_2x25_P2.54mm_Vertical","https://docs.rs-online.com/fea6/0900766b815867b9.pdf","https://uk.rs-online.com/web/p/pcb-headers/6257353/"
"U2","MCP23017_SP","Package_DIP:DIP-28_W7.62mm","https://docs.rs-online.com/3aed/0900766b8137eed4.pdf","https://uk.rs-online.com/web/p/io-expanders/0403806/"
"U3","MCP23017_SP","Package_DIP:DIP-28_W7.62mm","https://docs.rs-online.com/3aed/0900766b8137eed4.pdf","https://uk.rs-online.com/web/p/io-expanders/0403806/"
"R53","330R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/8434/0900766b8157ade3.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077622/"
"U1","ESP32_DevKit_V4","ESP32_DevKit_V4:esp32_devkit_v4","https://docs.espressif.com/projects/esp-idf/en/latest/esp32/hw-reference/esp32/get-started-devkitc.html#","https://www.amazon.co.uk/Dorhea-ESP32-DevKitC-Development-ESP32-WROOM-32U-Amplifier/dp/B08T5RBCXS/ref=sr_1_10?dchild=1&keywords=esp32+devkitc+v4&qid=1621968791&sr=8-10"
"R7","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"J3","Buttons","Pauls Parts:4WayScrewTerminal_2.54mm","https://docs.rs-online.com/02e6/0900766b8157c7ed.pdf","https://uk.rs-online.com/web/p/pcb-terminal-blocks/7901102/"
"U4","LM2675N-5","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2675.pdf","https://uk.farnell.com/texas-instruments/lm2675n-5-0-nopb/ic-dc-dc-converter-1a/dp/3122905?st=lm2675n-5"
"C1","100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","https://docs.rs-online.com/bcd8/0900766b814894c5.pdf","https://uk.rs-online.com/web/p/aluminium-capacitors/3150962/"
"C2","10nF","Capacitor_THT:C_Rect_L10.0mm_W4.0mm_P7.50mm_MKS4","https://docs.rs-online.com/9793/0900766b814700cb.pdf","https://uk.rs-online.com/web/p/polypropylene-film-capacitors/8961512/"
"C3","68uF","Capacitor_THT:C_Radial_D4.0mm_H7.0mm_P1.50mm","https://docs.rs-online.com/f424/0900766b80becf93.pdf","https://uk.rs-online.com/web/p/aluminium-capacitors/0572312/"
"L1","47uH","Inductor_THT:L_Toroid_Vertical_L14.7mm_W8.6mm_P5.58mm_Pulse_KM-1","https://docs.rs-online.com/24ef/0900766b81505716.pdf","https://uk.rs-online.com/web/p/leaded-inductors/1048418/"
"D2","1N5819RL","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","https://docs.rs-online.com/6961/0900766b80da3e32.pdf","https://uk.rs-online.com/web/p/schottky-diodes-rectifiers/6870754/"
